addicupo_state,remaining_addicupo,id
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,004e84e9-6397-441b-bf5e-93358199cfdd_103
AVAILABLE,291010.7478,00504d05-6e04-4011-bff2-23ae1f780207_103
AVAILABLE,0,008494e3-72fd-4715-9bf2-75a5d6e7cbda_103
AVAILABLE,222589.662,00e1b99f-b061-47e9-b772-86b0247fb6d1_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,00f0f028-7453-43ee-b7d4-24475d4aae37_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,00f3a68a-662d-4914-bd37-4516bd425b1c_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,00fcf99f-1ed3-4b01-8fef-a2cbf53ef00e_103
AVAILABLE,535759.5116,01008e34-466a-42b3-8427-8243242c1913_103
AVAILABLE,748451.8507,010a6c86-1db7-4cb8-81fc-40c87904f435_103
AVAILABLE,1899717.472,010d1356-b7b4-4ad4-a7a5-a3d3dca44256_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,01125104-6255-4ae6-a52c-e537fa5fc5fd_103
BLOCKED_BY_ALL_LOANS_CANCELLED,0,01157148-3db2-4ddf-a637-9e260be7fcad_103
AVAILABLE,1441700.955,01395f2b-f032-4ef5-a34f-c09894e3d407_103
AVAILABLE,1350000,013db2ec-6419-4aa6-9119-31ce79bbd188_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,016449c9-c931-4978-b7bb-8348caf233d6_103
AVAILABLE,0,017ec049-dc27-45ec-9065-6f14f5e42c9d_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,01abec45-54c5-499a-b97e-a316f2c7dd11_103
AVAILABLE,1281511.651,01cfe843-1801-4dd8-b527-919c42691563_103
AVAILABLE,0,01e21a64-1e17-4579-b06b-ae974be442db_103
AVAILABLE,1910566.245,01f14457-b0a5-48ad-b86e-dee421f9539e_103
AVAILABLE,561733.0498,01ff09d0-5680-4413-9a8e-4f35b59f6f40_103
AVAILABLE,1494000,0235a6d5-ee33-4568-a72a-7ad9f8857bb9_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,02382d6a-bc96-4ffa-a78b-77aae230206e_103
AVAILABLE,2668594.207,024ec99e-ad15-4069-bfa3-f7b148c72841_103
AVAILABLE,1157215.754,025300b2-2ac8-4b0c-a101-1b126ad66376_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0263521d-035a-486c-9cfd-cfc2832ec94a_103
AVAILABLE,1847732.907,0268d8bc-f563-4eee-ae3b-32a050ef554d_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,027874d8-1cfb-47a4-88f1-0a14db4d9356_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,029197cf-8705-45fd-b004-3f61eaefb29c_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,02daf7d3-e391-4b65-bd68-1be74dd5b066_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,02ea8a82-ce3e-4792-bbe2-46a9b79c3b0b_103
AVAILABLE,1800000,02ff70bc-02db-44b0-b06f-b8b0332708ee_103
AVAILABLE,2200000,0318fcdd-34b5-4116-b203-31a737c5c3d7_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,03205281-4784-400f-ae0e-c7c31656cc00_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0326d17d-397c-4349-9b07-4543cd07f9fb_103
AVAILABLE,996000,0328c70b-9eed-490b-91bd-3b78c5d276fd_103
BLOCKED_BY_ECM_POLICY_MAX_ACTIVE_LOANS,0,034219a9-788a-49d8-b649-ec10faf0d27a_103
AVAILABLE,1573602,035180b9-5ad2-4c96-99f4-9c0c58eb4472_103
AVAILABLE,2451666,0355f750-9a1f-4923-b6bf-bd65cbc72529_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0383ccb4-efa5-43d4-926a-3119dc5b4ab8_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,038bf8e6-eecb-458e-9323-3b2007964855_103
AVAILABLE,1941484.679,039c2f59-d228-4977-8616-3db4fd12f86d_103
AVAILABLE,1800000,03b15e91-6f0e-4257-bc0e-fc32e2b25c4a_103
AVAILABLE,341800.899,03b51281-c80a-4469-98ac-9f477c9fe1e3_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,03baa4e6-a0a7-4119-9adb-b25471d61fa6_103
BLOCKED_BY_FRAUD,0,03cdd712-62a5-4e15-98e4-3e3e424f2b84_103
AVAILABLE,1800000,03d655cd-ba4c-4865-a706-c32a585dfa15_103
AVAILABLE,560261.091,03dbd71e-ae49-49b8-a9cd-4d3f91c8c2a1_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,03ebe69f-b20d-401d-ac06-d5213b32b0d2_103
AVAILABLE,600000,040a24d0-73d0-413d-80d4-53999211eec0_103
AVAILABLE,1700750.203,0420d5c5-f4ed-466b-894d-c27c4f4c7c82_103
